iter	Passed	Remaining
162	1143	5869
163	1151	5868
164	1158	5863
165	1164	5850
166	1171	5841
167	1178	5835
168	1185	5827
169	1192	5822
170	1200	5817
171	1206	5809
172	1213	5800
173	1219	5789
174	1226	5780
175	1233	5774
176	1240	5767
177	1246	5754
178	1252	5746
179	1261	5744
180	1268	5737
181	1274	5729
182	1281	5719
183	1287	5709
184	1294	5701
185	1300	5693
186	1307	5686
187	1313	5674
188	1320	5664
189	1326	5657
190	1333	5649
191	1340	5640
192	1346	5629
193	1352	5619
194	1359	5610
195	1365	5599
196	1371	5590
197	1379	5586
198	1385	5577
199	1392	5571
200	1400	5565
201	1406	5555
202	1412	5546
203	1420	5540
204	1426	5531
205	1433	5526
206	1440	5518
207	1446	5508
208	1453	5502
209	1460	5494
210	1466	5482
211	1473	5477
212	1479	5468
213	1486	5461
214	1493	5454
215	1500	5445
216	1506	5437
217	1512	5426
218	1521	5424
219	1527	5414
220	1534	5409
221	1541	5403
222	1548	5395
223	1554	5385
224	1561	5379
225	1567	5368
226	1574	5360
227	1580	5351
228	1587	5343
229	1594	5337
230	1601	5331
231	1607	5322
232	1614	5313
233	1620	5303
234	1627	5296
235	1633	5289
236	1640	5281
237	1647	5274
238	1654	5267
239	1662	5265
240	1670	5261
241	1677	5255
242	1684	5248
243	1691	5240
244	1697	5230
245	1703	5222
246	1710	5213
247	1716	5206
248	1723	5198
249	1731	5193
250	1738	5186
251	1745	5180
252	1753	5175
253	1759	5167
254	1765	5157
255	1771	5148
256	1778	5140
257	1784	5132
258	1791	5125
259	1798	5118
260	1805	5112
261	1812	5104
262	1818	5097
263	1825	5089
264	1832	5083
265	1839	5076
266	1845	5067
267	1852	5061
268	1860	5055
269	1867	5048
270	1873	5040
271	1880	5034
272	1887	5027
273	1894	5020
274	1901	5013
275	1909	5007
276	1916	5001
277	1923	4995
278	1930	4988
279	1936	4980
280	1943	4972
281	1950	4965
282	1956	4956
283	1963	4949
284	1970	4942
285	1977	4937
286	1984	4929
287	1990	4920
288	1997	4913
289	2003	4905
290	2010	4899
291	2018	4893
292	2024	4884
293	2031	4877
294	2038	4871
295	2046	4866
296	2053	4859
297	2060	4853
298	2066	4845
299	2074	4840
300	2081	4833
301	2089	4828
302	2097	4823
303	2103	4816
304	2110	4809
305	2116	4800
306	2124	4795
307	2131	4789
308	2138	4781
309	2145	4775
310	2152	4769
311	2160	4763
312	2166	4754
313	2173	4747
314	2180	4741
315	2187	4734
316	2194	4728
317	2201	4720
318	2207	4713
319	2214	4704
320	2220	4697
321	2227	4689
322	2234	4682
323	2242	4678
324	2249	4672
325	2256	4665
326	2263	4657
327	2269	4649
328	2276	4642
329	2282	4634
330	2289	4627
331	2295	4619
332	2302	4611
333	2309	4604
334	2316	4597
335	2323	4590
336	2330	4585
337	2337	4578
338	2343	4569
339	2351	4564
340	2357	4556
341	2364	4549
342	2371	4542
343	2378	4535
344	2383	4525
345	2391	4519
346	2397	4511
347	2404	4505
348	2412	4500
349	2419	4493
350	2426	4487
351	2433	4480
352	2440	4472
353	2446	4465
354	2454	4459
355	2460	4450
356	2466	4442
357	2473	4435
358	2481	4429
359	2487	4422
360	2493	4414
361	2501	4408
362	2507	4400
363	2513	4392
364	2520	4385
365	2527	4378
366	2534	4371
367	2541	4364
368	2547	4357
369	2554	4349
370	2561	4343
371	2568	4336
372	2575	4328
373	2582	4322
374	2589	4315
375	2596	4308
376	2602	4300
377	2608	4292
378	2614	4284
379	2622	4278
380	2628	4271
381	2636	4265
382	2644	4260
383	2650	4252
384	2657	4244
385	2663	4236
386	2670	4229
387	2676	4221
388	2683	4215
389	2690	4207
390	2696	4200
391	2703	4193
392	2710	4186
393	2717	4179
394	2725	4174
395	2738	4176
396	2748	4175
397	2758	4172
398	2765	4165
399	2772	4158
400	2779	4152
401	2787	4147
402	2794	4140
403	2801	4133
404	2808	4126
405	2815	4119
406	2822	4112
407	2829	4104
408	2836	4098
409	2843	4091
410	2849	4083
411	2856	4076
412	2863	4070
413	2869	4062
414	2877	4056
415	2884	4049
416	2890	4041
417	2897	4034
418	2904	4027
419	2911	4020
420	2918	4013
421	2924	4005
422	2932	3999
423	2940	3994
424	2946	3986
425	2953	3979
426	2960	3972
427	2966	3964
428	2972	3956
429	2979	3949
430	2985	3942
431	2992	3934
432	2998	3926
433	3005	3919
434	3012	3912
435	3018	3905
436	3026	3899
437	3035	3894
438	3041	3887
439	3048	3880
440	3055	3873
441	3062	3866
442	3070	3860
443	3076	3852
444	3083	3845
445	3088	3836
446	3095	3828
447	3101	3822
448	3109	3815
449	3114	3807
450	3121	3799
451	3127	3791
452	3134	3785
453	3140	3777
454	3147	3769
455	3153	3762
456	3160	3754
457	3167	3748
458	3175	3742
459	3181	3735
460	3188	3727
461	3195	3721
462	3202	3714
463	3209	3707
464	3215	3699
465	3221	3691
466	3227	3683
467	3234	3677
468	3241	3669
469	3249	3664
470	3256	3657
471	3263	3650
472	3270	3644
473	3277	3636
474	3284	3629
475	3291	3623
476	3298	3616
477	3306	3610
478	3313	3604
479	3320	3597
480	3327	3590
481	3333	3582
482	3339	3574
483	3346	3567
484	3353	3561
485	3359	3552
486	3366	3546
487	3373	3539
488	3380	3532
489	3386	3525
490	3393	3517
491	3400	3510
492	3407	3503
493	3414	3497
494	3421	3490
495	3428	3484
496	3436	3477
497	3442	3470
498	3449	3463
499	3455	3455
500	3462	3448
501	3469	3441
502	3476	3434
503	3483	3428
504	3490	3421
505	3497	3414
506	3503	3406
507	3510	3399
508	3516	3392
509	3523	3385
510	3531	3379
511	3538	3372
512	3544	3365
513	3552	3358
514	3558	3351
515	3565	3344
516	3571	3336
517	3578	3329
518	3584	3322
519	3592	3316
520	3599	3309
521	3606	3302
522	3614	3296
523	3621	3289
524	3627	3281
525	3633	3274
526	3640	3267
527	3648	3261
528	3654	3253
529	3659	3245
530	3666	3238
531	3673	3231
532	3680	3224
533	3687	3217
534	3693	3209
535	3699	3202
536	3706	3195
537	3713	3188
538	3720	3181
539	3728	3175
540	3734	3168
541	3741	3161
542	3748	3154
543	3755	3147
544	3761	3140
545	3768	3133
546	3774	3125
547	3779	3117
548	3786	3110
549	3792	3102
550	3797	3094
551	3804	3088
552	3811	3080
553	3818	3073
554	3825	3066
555	3832	3060
556	3840	3054
557	3848	3048
558	3856	3042
559	3863	3035
560	3869	3028
561	3876	3021
562	3883	3014
563	3890	3007
564	3897	3000
565	3905	2994
566	3912	2987
567	3919	2981
568	3926	2974
569	3933	2967
570	3940	2960
571	3946	2953
572	3952	2945
573	3959	2938
574	3966	2931
575	3973	2924
576	3979	2917
577	3986	2910
578	3993	2903
579	3999	2896
580	4006	2889
581	4013	2882
582	4021	2876
583	4028	2869
584	4036	2863
585	4043	2856
586	4052	2851
587	4059	2844
588	4066	2837
589	4073	2830
590	4083	2826
591	4091	2819
592	4098	2813
593	4104	2805
594	4111	2798
595	4117	2790
596	4123	2783
597	4129	2776
598	4136	2769
599	4143	2762
600	4151	2756
601	4158	2749
602	4165	2742
603	4172	2735
604	4178	2728
605	4185	2721
606	4191	2714
607	4199	2707
608	4205	2700
609	4211	2692
610	4218	2685
611	4226	2679
612	4233	2672
613	4240	2666
614	4247	2658
615	4254	2651
616	4261	2645
617	4269	2639
618	4275	2631
619	4282	2624
620	4289	2618
621	4297	2611
622	4305	2605
623	4312	2598
624	4319	2591
625	4326	2584
626	4332	2577
627	4339	2570
628	4347	2564
629	4354	2557
630	4372	2556
631	4380	2550
632	4387	2543
633	4394	2536
634	4401	2530
635	4409	2523
636	4416	2516
637	4422	2509
638	4428	2501
639	4435	2495
640	4442	2487
641	4448	2480
642	4455	2473
643	4462	2466
644	4471	2461
645	4479	2454
646	4486	2447
647	4493	2440
648	4500	2434
649	4507	2427
650	4513	2419
651	4520	2412
652	4527	2405
653	4535	2399
654	4541	2392
655	4550	2386
656	4558	2379
657	4566	2373
658	4571	2365
659	4578	2358
660	4587	2352
661	4595	2346
662	4602	2339
663	4609	2332
664	4617	2326
665	4623	2318
666	4629	2311
667	4635	2303
668	4641	2296
669	4648	2289
670	4655	2282
671	4663	2276
672	4670	2269
673	4677	2262
674	4683	2255
675	4690	2248
676	4696	2240
677	4703	2233
678	4709	2226
679	4715	2219
680	4723	2212
681	4729	2205
682	4736	2198
683	4743	2191
684	4750	2184
685	4761	2179
686	4769	2173
687	4776	2166
688	4784	2159
689	4791	2152
690	4799	2146
691	4806	2139
692	4812	2132
693	4819	2125
694	4826	2118
695	4832	2110
696	4840	2104
697	4846	2096
698	4852	2089
699	4860	2082
700	4866	2075
701	4872	2068
702	4879	2061
703	4885	2054
704	4892	2047
705	4899	2040
706	4904	2032
707	4911	2025
708	4918	2018
709	4925	2011
710	4931	2004
711	4938	1997
712	4946	1991
713	4954	1984
714	4962	1978
715	4969	1971
716	4977	1964
717	4985	1957
718	4991	1950
719	4999	1944
720	5006	1937
721	5014	1930
722	5022	1924
723	5030	1917
724	5036	1910
725	5044	1903
726	5050	1896
727	5058	1889
728	5066	1883
729	5073	1876
730	5079	1869
731	5086	1862
732	5092	1855
733	5100	1848
734	5107	1841
735	5113	1834
736	5121	1827
737	5128	1820
738	5135	1813
739	5143	1807
740	5150	1800
741	5158	1793
742	5166	1787
743	5172	1779
744	5179	1772
745	5186	1765
746	5193	1759
747	5201	1752
748	5208	1745
749	5215	1738
750	5221	1731
751	5228	1724
752	5235	1717
753	5242	1710
754	5249	1703
755	5256	1696
756	5263	1689
757	5270	1682
758	5278	1675
759	5284	1668
760	5291	1661
761	5298	1654
762	5305	1648
763	5312	1641
764	5319	1634
765	5325	1626
766	5333	1620
767	5341	1613
768	5347	1606
769	5354	1599
770	5361	1592
771	5368	1585
772	5375	1578
773	5381	1571
774	5389	1564
775	5396	1557
776	5402	1550
777	5408	1543
778	5414	1536
779	5421	1529
780	5428	1522
781	5434	1514
782	5441	1508
783	5448	1501
784	5454	1494
785	5461	1487
786	5467	1479
787	5474	1472
788	5480	1465
789	5487	1458
790	5493	1451
791	5500	1444
792	5507	1437
793	5514	1430
794	5520	1423
795	5527	1416
796	5534	1409
797	5541	1402
798	5547	1395
799	5555	1388
800	5562	1381
801	5568	1374
802	5575	1367
803	5582	1360
804	5588	1353
805	5595	1346
806	5602	1339
807	5609	1332
808	5616	1326
809	5623	1319
810	5630	1312
811	5638	1305
812	5645	1298
813	5652	1291
814	5659	1284
815	5667	1278
816	5674	1271
817	5681	1264
818	5688	1257
819	5695	1250
820	5701	1243
821	5708	1236
822	5715	1229
823	5722	1222
824	5728	1215
825	5735	1208
826	5742	1201
827	5748	1194
828	5754	1186
829	5761	1180
830	5767	1172
831	5774	1166
832	5780	1158
833	5787	1151
834	5794	1144
835	5802	1138
836	5809	1131
837	5816	1124
838	5824	1117
839	5831	1110
840	5837	1103
841	5844	1096
842	5851	1089
843	5858	1082
844	5865	1075
845	5872	1068
846	5878	1061
847	5885	1054
848	5891	1047
849	5898	1040
850	5903	1033
851	5910	1026
852	5917	1019
853	5924	1012
854	5931	1005
855	5938	998
856	5945	992
857	5952	985
858	5959	978
859	5965	971
860	5972	964
861	5978	957
862	5984	950
863	5990	942
864	5997	936
865	6006	929
866	6014	922
867	6021	915
868	6029	908
869	6036	902
870	6043	895
871	6049	888
872	6056	881
873	6064	874
874	6072	867
875	6077	860
876	6084	853
877	6091	846
878	6098	839
879	6103	832
880	6110	825
881	6117	818
882	6125	811
883	6131	804
884	6137	797
885	6144	790
886	6151	783
887	6159	776
888	6167	770
889	6173	762
890	6179	756
891	6186	749
892	6194	742
893	6199	735
894	6207	728
895	6214	721
896	6221	714
897	6228	707
898	6234	700
899	6241	693
900	6248	686
901	6254	679
902	6261	672
903	6267	665
904	6273	658
905	6279	651
906	6285	644
907	6293	637
908	6300	630
909	6307	623
910	6314	616
911	6320	609
912	6327	602
913	6334	595
914	6341	589
915	6348	582
916	6354	575
917	6361	568
918	6367	561
919	6374	554
920	6381	547
921	6388	540
922	6394	533
923	6402	526
924	6408	519
925	6415	512
926	6421	505
927	6427	498
928	6433	491
929	6440	484
930	6447	477
931	6453	470
932	6459	463
933	6465	456
934	6471	449
935	6477	442
936	6484	435
937	6491	429
938	6497	422
939	6504	415
940	6511	408
941	6518	401
942	6524	394
943	6532	387
944	6539	380
945	6545	373
946	6552	366
947	6559	359
948	6566	352
949	6573	345
950	6580	339
951	6587	332
952	6595	325
953	6600	318
954	6607	311
955	6614	304
956	6621	297
957	6627	290
958	6633	283
959	6640	276
960	6648	269
961	6654	262
962	6661	255
963	6667	249
964	6674	242
965	6681	235
966	6688	228
967	6695	221
968	6700	214
969	6708	207
970	6714	200
971	6721	193
972	6728	186
973	6735	179
974	6742	172
975	6748	165
976	6755	159
977	6762	152
978	6769	145
979	6776	138
980	6782	131
981	6789	124
982	6795	117
983	6803	110
984	6808	103
985	6816	96
986	6822	89
987	6828	82
988	6835	76
989	6842	69
990	6848	62
991	6856	55
992	6863	48
993	6870	41
994	6877	34
995	6884	27
996	6890	20
997	6896	13
998	6903	6
999	6910	0
