iter	RMSE
189	1.06907752
190	1.059885
191	1.056842175
192	1.050427272
193	1.048815174
194	1.047142993
195	1.03960313
196	1.030679378
197	1.022278733
198	1.017259012
199	1.015000805
200	1.00758726
201	0.999513476
202	0.9910660969
203	0.9877975928
204	0.9788869074
205	0.971764979
206	0.9648487841
207	0.9583319943
208	0.952627945
209	0.949015073
210	0.9437428043
211	0.9361416793
212	0.928903372
213	0.9242845806
214	0.9201756642
215	0.9135727146
216	0.9061980079
217	0.8994031104
218	0.8928189894
219	0.8866343858
220	0.8802517032
221	0.8731466387
222	0.8674471937
223	0.8626226336
224	0.8577790978
225	0.855334136
226	0.8491184904
227	0.8433338337
228	0.8391411924
229	0.8329629877
230	0.8256102942
231	0.8209461873
232	0.8126837973
233	0.8054669616
234	0.7999521673
235	0.7925446083
236	0.785796911
237	0.7800991365
238	0.7742245494
239	0.7679573949
240	0.7643877523
241	0.7593537815
242	0.7547253459
243	0.7485826817
244	0.7422115072
245	0.7363822383
246	0.7309509559
247	0.7248657098
248	0.7218855726
249	0.7158881433
250	0.7102484436
251	0.7037579241
252	0.696938997
253	0.6900404595
254	0.6848194677
255	0.6800163833
256	0.6734839246
257	0.6676200872
258	0.6616569825
259	0.6561181621
260	0.6504603565
261	0.6452084884
262	0.6405342662
263	0.6350989115
264	0.6307216562
265	0.6261797247
266	0.6209538686
267	0.6157939364
268	0.6139095534
269	0.610449149
270	0.6050455827
271	0.6003922989
272	0.5969126858
273	0.5928302039
274	0.5876752442
275	0.583045741
276	0.5772778688
277	0.572401993
278	0.5704560768
279	0.5657097187
280	0.5615684326
281	0.5570946869
282	0.5521879945
283	0.5475109167
284	0.5430942325
285	0.5384968924
286	0.534973818
287	0.5308988331
288	0.5286102411
289	0.5241201704
290	0.5196986399
291	0.5154305842
292	0.5130303149
293	0.5107153344
294	0.5090632961
295	0.5038295415
296	0.4994832121
297	0.4949257056
298	0.4923102295
299	0.4883196715
300	0.4847731146
301	0.4813036306
302	0.4776376083
303	0.4738460902
304	0.4694708615
305	0.4650878388
306	0.4617256993
307	0.4582950506
308	0.4541760043
309	0.4495652085
310	0.4459492927
311	0.443037905
312	0.4394696297
313	0.4366461646
314	0.4333986401
315	0.4295498117
316	0.4255456145
317	0.423164412
318	0.4209299584
319	0.4167012359
320	0.4125821931
321	0.4099292228
322	0.4060517265
323	0.4042038391
324	0.4007531473
325	0.3972492882
326	0.3941531718
327	0.3927201034
328	0.3898566818
329	0.3871867604
330	0.3839957484
331	0.3815860748
332	0.3781375223
333	0.3746402973
334	0.3726034204
335	0.3696140038
336	0.366650759
337	0.3636978455
338	0.3610481241
339	0.3579227951
340	0.3560825985
341	0.3531550061
342	0.3498400427
343	0.3470517223
344	0.3440274247
345	0.3427114045
346	0.340200075
347	0.3380981589
348	0.334960966
349	0.3322277845
350	0.3290039177
351	0.3260227949
352	0.3231752258
353	0.3211805533
354	0.3196419982
355	0.3172838275
356	0.316011432
357	0.3148538968
358	0.3125652573
359	0.3099368162
360	0.3087334853
361	0.3074239264
362	0.3048551866
363	0.3021780118
364	0.2995967598
365	0.2967147437
366	0.2946692276
367	0.2918990419
368	0.2904501223
369	0.2876944814
370	0.2858039036
371	0.2834681004
372	0.2814539907
373	0.2798921138
374	0.2774933915
375	0.2750622654
376	0.272638567
377	0.270036362
378	0.2689263291
379	0.2667900574
380	0.2649478546
381	0.262898085
382	0.2611265974
383	0.2594231592
384	0.2582402046
385	0.256102445
386	0.2541296502
387	0.2522039608
388	0.2500260589
389	0.2479953435
390	0.2466680982
391	0.2443189071
392	0.2436391466
393	0.242388636
394	0.2407417741
395	0.238769373
396	0.2371539486
397	0.2351827215
398	0.2328347089
399	0.2309516304
400	0.229910808
401	0.2279260408
402	0.2269939131
403	0.2250738071
404	0.2228459993
405	0.2210699107
406	0.2200148326
407	0.2183444695
408	0.2163496239
409	0.2148664276
410	0.2132283881
411	0.2113592053
412	0.2096509376
413	0.2081171191
414	0.2067025754
415	0.2057640634
416	0.2047003387
417	0.2035289649
418	0.2016701324
419	0.2004464985
420	0.1991834086
421	0.1986695442
422	0.1969433869
423	0.1953387326
424	0.1946708342
425	0.1935584624
426	0.1921658169
427	0.1912968945
428	0.1897123904
429	0.1884530271
430	0.1866805811
431	0.1854258833
432	0.1838511934
433	0.182548205
434	0.1816935618
435	0.1805931255
436	0.179357424
437	0.1786895403
438	0.1773912142
439	0.1757830384
440	0.1743395505
441	0.1728131591
442	0.1712141189
443	0.1698139114
444	0.1683907083
445	0.1669787092
446	0.1655213399
447	0.1645258296
448	0.1631803559
449	0.1620468231
450	0.161147379
451	0.1606153788
452	0.1602310016
453	0.1593236485
454	0.1584881389
455	0.1574396409
456	0.1560751277
457	0.1548836658
458	0.1536816545
459	0.1524480704
460	0.1512434352
461	0.1499447964
462	0.1487027695
463	0.1474286778
464	0.1462012961
465	0.1447746588
466	0.1436045052
467	0.1429955189
468	0.141979546
469	0.1413184602
470	0.1405384459
471	0.1399620835
472	0.139160929
473	0.138387183
474	0.1378826402
475	0.1371179977
476	0.1360694153
477	0.1349852685
478	0.1344784315
479	0.1333133386
480	0.1321880268
481	0.1316850874
